Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"Kowint Energy (ShenZhen) Co.,Ltd",R5000-ST,LiFePO4,5.12,5,0.98,17/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",R5000-STW,LiFePO4,5.12,5,0.98,17/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4001-ST,LiFePO4,5.12,5,0.98,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4001-STW,LiFePO4,5.12,5,0.98,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",W5000-ST,LiFePO4,5.12,5,0.98,17/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",W5000-STW,LiFePO4,5.12,5,0.98,17/05/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4002-SS,LiFePO4,9.6,9.6,1.00,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4002-SSW,LiFePO4,9.6,9.6,1.00,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4002-ST,LiFePO4,10.24,10,0.98,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4002-STW,LiFePO4,10.24,10,0.98,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4003-SS,LiFePO4,14.4,14.4,1.00,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4003-SSW,LiFePO4,14.4,14.4,1.00,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4003-ST,LiFePO4,15.36,15,0.98,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4003-STW,LiFePO4,15.36,15,0.98,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4004-SS,LiFePO4,19.2,15,0.78,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4004-SSW,LiFePO4,19.2,15,0.78,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4004-ST,LiFePO4,20.48,15,0.73,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4004-STW,LiFePO4,20.48,15,0.73,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4005-SS,LiFePO4,24,15,0.63,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4005-SSW,LiFePO4,24,15,0.63,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4005-ST,LiFePO4,25.6,15,0.59,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4005-STW,LiFePO4,25.6,15,0.59,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4006-SS,LiFePO4,28.8,15,0.52,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4006-SSW,LiFePO4,28.8,15,0.52,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4006-ST,LiFePO4,30.72,15,0.49,30/06/2023
"Kowint Energy (ShenZhen) Co.,Ltd",S4006-STW,LiFePO4,30.72,15,0.49,30/06/2023
"LG Energy Solution, Ltd.",RESU 10H Prime,Li-ion,9.6,5,0.52,09/03/2021
"LG Energy Solution, Ltd.",RESU 16H Prime,Li-ion,16,16,1.00,17/12/2020
"LG Energy Solution, Ltd.",SR22F617F_G16D1,Li-ion,110.908,110.908,1.00,02/12/2021
Liniotech,LNT051200A-B-GBP2,Li-ion,10.24,5.12,0.50,27/04/2023
Lithion Battery Inc.,CP1-LFP05120-1A01,LiFePO4,5.12,5.12,1.00,07/02/2023
Lithion Battery Inc.,PF5-LFP09600-2A01,LiFePO4,9.6,8.6,0.90,07/02/2023
Lithion Battery Inc.,PF5-LFP14400-2A01,LiFePO4,14.4,12.9,0.90,07/02/2023
Lithion Battery Inc.,PF5-LFP19200-2A01,LiFePO4,19.2,14.4,0.75,07/02/2023
Lithion Battery Inc.,PF5-LFP24000-2A01,LiFePO4,24,14.4,0.60,07/02/2023
Lithion Battery Inc.,PF5-LFP28800-2A01,LiFePO4,28.8,14.4,0.50,07/02/2023
Lithion Battery Inc.,PF5-LFP33600-2A01,LiFePO4,33.6,14.4,0.43,07/02/2023
Lithion Battery Inc.,PF5-LFP38400-2A01,LiFePO4,38.4,14.4,0.38,07/02/2023
"Oxford Intelligent Energy Co., Ltd.",eTank-10.2K/LV,LiFePO4,10.24,6.14,0.60,10/11/2023
PANASONIC CORPORATION OF NORTH AMERICA,EV-X10,LiFePO4,10,5.5,0.55,17/03/2023
PANASONIC CORPORATION OF NORTH AMERICA,EV-X15,LiFePO4,15,8.3,0.55,17/03/2023
PANASONIC CORPORATION OF NORTH AMERICA,EV-X20,LiFePO4,20,11.1,0.56,17/03/2023
PHASEGREEN TECHNOLOGY INC,PhG-ESS-5L-S,LiFePO4,5,5,1.00,14/10/2022
