Manufacturer Name,Model Number,Technology,Energy_Capacity_kWh,Max_Continuous_Discharge_kW,C_Rate,Certificate Date (mm/dd/yyyy)
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 13.2H-C1-US,LiFePO4,13.2,5.2,0.39,27/11/2020
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 16.5H-C1-US,LiFePO4,16.5,5.2,0.32,27/11/2020
"Shenzhen Growatt New Energy Technology Co., Ltd",ARO 19.8H-C1-US,LiFePO4,19.8,5.2,0.26,27/11/2020
"Shenzhen GSL Energy Co., Ltd.",GSL051200A-B-GBP2,Li-ion,10.24,5.12,0.50,28/09/2022
"Shenzhen GSL Energy Co., Ltd.",GSL051280A-B-GBP2,LiFePO4,14.34,7.68,0.54,10/10/2022
Shenzhen UZ Energy Limited,L051100-B,LiFePO4,5.12,5.12,1.00,14/03/2023
Shenzhen UZ Energy Limited,PLPA-L1-10K2,LiFePO4,10.24,6.14,0.60,07/11/2023
"SimpliPhi Power, Inc.",AmpliPHI3.8-48,LiFePO4,3.8,1.9,0.50,04/06/2022
"SimpliPhi Power, Inc.",PHI3.8 24V 60 VTE BRK,LiFePO4,3.8,1.9,0.50,11/08/2020
"SimpliPhi Power, Inc.",PHI3.8 48V 60 VTE BRK,LiFePO4,3.8,1.9,0.50,11/08/2020
"SimpliPhi Power, Inc.",SPHI-B-4.9,LiFePO4,4.9,2.48,0.51,04/06/2022
SolarEdge Technologies Ltd.,BAT-10K1P,Li-ion,9.7,5,0.52,17/06/2021
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",T-BAT H 10.0,LiFePO4,10,5.5,0.55,13/04/2022
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",T-BAT H 15.0,LiFePO4,15,8.3,0.55,13/04/2022
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",T-BAT H 20.0,LiFePO4,20,11.1,0.56,13/04/2022
"Soluna(Shanghai)Co.,Ltd",Soluna 6K Pack HV(L-E),Li-ion,6,6,1.00,16/10/2023
"Soluna(Shanghai)Co.,Ltd",Soluna 10K Pack HV(L-E),Li-ion,10,10,1.00,16/10/2023
"Soluna(Shanghai)Co.,Ltd",Soluna 15K Pack HV(L-E),Li-ion,15,15,1.00,16/10/2023
"StackRack Battery Systems, LLC",SR5K-UL,LiFePO4,5.12,2.56,0.50,04/01/2023
Storz Power LLC,SP5.12-LFPv4,LiFePO4,5.12,5.12,1.00,22/07/2020
"Sunwoda Energy Technology Co., Ltd.",Atrix-5,LiFePO4,5,5,1.00,02/02/2023
"Sunwoda Energy Technology Co., Ltd.","B051100P
02",LiFePO4,5,5,1.00,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-5,LiFePO4,5,5,1.00,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",Atrix-10,LiFePO4,10,9,0.90,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-10,LiFePO4,10,9,0.90,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",Atrix-15,LiFePO4,15,10,0.67,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-15,LiFePO4,15,10,0.67,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",Atrix-20,LiFePO4,20,10,0.50,02/02/2023
"Sunwoda Energy Technology Co., Ltd.",SunESS-20,LiFePO4,20,10,0.50,02/02/2023
"Tigo Energy, Inc",TSB-7-US,LiFePO4,6.6,3.5,0.53,08/11/2021
"Tigo Energy, Inc",TSB-10-US,LiFePO4,9.9,5.2,0.53,08/11/2021
"Tigo Energy, Inc",TSB-14-US,LiFePO4,13.2,5.2,0.39,08/11/2021
"Tigo Energy, Inc",TSB-17-US,LiFePO4,16.5,5.2,0.32,08/11/2021
"Tigo Energy, Inc",TSB-20-US,LiFePO4,19.8,5.2,0.26,08/11/2021
TROES Corp.,TR-S138-6P9,LiFePO4,55.3,55.3,1.00,26/01/2022
TROES Corp.,TR-S138-7P9,LiFePO4,64.51,64.51,1.00,26/01/2022
TROES Corp.,TR-S138-8P9,LiFePO4,73.73,73.73,1.00,26/01/2022
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 4.8kWh,LiFePO4,4.8,2.88,0.60,21/06/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 5000A,LiFePO4,5,3,0.60,08/09/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 5000,LiFePO4,5.1,3,0.59,26/10/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 9.6kWh,LiFePO4,9.6,5.76,0.60,21/06/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 14.4kWh,LiFePO4,14.4,8.64,0.60,21/06/2023
"Uhome Smart Energy (Wuxi) Co., Ltd.",LFP 19.2kWh,LiFePO4,19.2,9.6,0.50,21/06/2023
"Ulectric Technology Co., Ltd",Camel HESS-5,LiFePO4,5,5,1.00,27/12/2022
"Ulectric Technology Co., Ltd",Camel HESS-10,LiFePO4,10,9,0.90,27/12/2022
"Ulectric Technology Co., Ltd",Camel HESS-15,LiFePO4,15,10,0.67,27/12/2022
"Ulectric Technology Co., Ltd",Camel HSS-20,LiFePO4,20,10,0.50,27/12/2022
Xiamen Ampace Technology Limited,C-M51200ESA1,LiFePO4,10.03,5.12,0.51,10/05/2022
"Xiamen Kehua Digital Energy Tech Co., Ltd",iStoragE B5L-S1,LiFePO4,5,2.5,0.50,07/11/2022
"Yotta Energy, Inc.",SL-1000,LiFePO4,1,0.675,0.68,05/01/2023
